Product,Rating,MRP,Feature,RAM,OS,Brand,os,CPU Processor,Storage_Type,Storage_Capacity,RAM Type,RAM Capacity,CPU Brand
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop,4.2,36990.0,Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 inch) DisplayOffice Home and Student 20212 Year Onsite�Warranty,8 GB DDR4 RAM,64 bit Windows 11 Operating System,Lenovo,Windows,Intel Core i3 Processor,SSD,256,DDR4,8,Intel
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | 82H802...,4.2,39990.0,Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayOffice Home and Student 20212 Year Onsite�Warranty,8 GB DDR4 RAM,64 bit Windows 11 Operating System,Lenovo,Windows,Intel Core i3 Processor,SSD,512,DDR4,8,Intel
ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS | X515JA-E...,4.3,32990.0,Intel Core i3 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayOffice Home and Student 20211 Year Onsite Warranty,8 GB DDR4 RAM,64 bit Windows 11 Operating System,ASUS,Windows,Intel Core i3 Processor,SSD,512,DDR4,8,Intel
HP Pavilion Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce ...,4.4,49990.0,"AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayHP Documentation, HP e-service, HP BIOS Recovery, HP SSRM, HP Smart, HP Jumpstarts1 Year Onsite Warranty",8 GB DDR4 RAM,64 bit Windows 10 Operating System,HP,Windows,AMD Ryzen 5 Hexa Core Processor,SSD,512,DDR4,8,AMD
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,4.4,49990.0,Intel Core i5 Processor (10th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty,8 GB DDR4 RAM,,ASUS,Windows,Intel Core i5 Processor,SSD,512,DDR4,8,Intel
HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light Laptop,4.2,36990.0,Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty,8 GB DDR4 RAM,64 bit Windows 11 Operating System,HP,Windows,Intel Core i3 Processor,SSD,256,DDR4,8,Intel
DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) D560841WIN9S Thin and Ligh...,4.3,38990.0,"Processor: Intel i3-1115G4 (Base- 1.70 GHz & Turbo up to 4.10 GHz) 2 CoresRAM & Storage: 8GB DDR4 & 1TB + 256GB SSDGraphics & Keyboard: Integrated & Standard KeyboardDisplay: 15.6"" FHD WVA AG Narrow BorderPorts: 2x USB 3.2 Gen1 ,1x USB 2.0, HDMI 1.4, SD Card reader, Audio jack, 1 M.2 2230/2280 slot for solid-state drive/Intel OptaneIntel Core i3 Processor (11th Gen)8 GB DDR4 RAMWindows 11 Operating System1 TB HDD|256 GB SSD39.62 cm (15.6 inch) Display1 YEAR",8 GB DDR4 RAM,,DELL,Windows,Other Intel Processor,SSD,1000,DDR4,8,Intel
RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Thin and Light Laptop,4.1,39990.0,"Intel Core i5 Processor (11th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMS Office Home & Student 2019, Mi Smart Share, DTS Audio processing1 Year Onsite Warranty",8 GB DDR4 RAM,,RedmiBook,Windows,Intel Core i5 Processor,SSD,512,DDR4,8,Intel
realme Book (Slim) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light Laptop,4.4,46990.0,"Stylish & Portable Thin and Light Laptop14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display)Finger Print Sensor for Faster System AccessLight Laptop without Optical Disk DriveIntel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD35.56 cm (14 inch) DisplayNA1 Year Domestic Warranty",8 GB DDR4 RAM,64 bit Windows 10 Operating System,realme,Windows,Other Intel Processor,SSD,256,DDR4,8,Intel
ASUS VivoBook 14 (2022) Ryzen 7 Quad Core AMD R7-3700U - (16 GB/512 GB SSD/Windows 11 Home) M415DA-EB5...,4.1,44990.0,AMD Ryzen 7 Quad Core Processor16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 inch) DisplayOffice Home and Student 20211 Year Onsite Warranty,16 GB DDR4 RAM,64 bit Windows 11 Operating System,ASUS,Windows,AMD Processor,SSD,512,DDR4,16,AMD
